text,label
Ye post pura bakwas hai.,1
गांड में दम नहीं,1
हा व्हिडिओ खूपच क्रिंज आहे.,1
ye kya dekh liya maine.,1
Bhai tu kya hi kar raha hai.,1
Yeh topic thoda different laga.,0
टपोरी,1
माहिती सामान्य आहे.,0
Worst take ever.,1
Content simple hai.,0
Bhai tu khud ko check kar.,1
The topic is easy to understand.,0
व्हिडिओ सामान्य आहे.,0
घटिया माणूस,1
समझने में कोई परेशानी नहीं हुई।,0
वेडपट,1
I learned a couple of small things here.,0
Stop showing up on my feed.,1
Nobody asked bro.,1
bh*sdi*e,1
जानकारी समझ में आती है।,0
Bro really thought he cooked.,1
"Wow, what a genius idea… not.",1
बहन के लंड,1
वीडियो सामान्य है।,0
The concept looks easy.,0
m*ron,1
वीडियो सामान्य है।,0
Koi sense hai iss baat ka?,1
वीडियो की क्वालिटी ठीक है।,0
pagalpanti,1
लौंडा,1
तेरी बहन की चूत,1
jaheel,1
Content normal hai.,0
The video seems normal.,0
tu kaamacha nahi manus re,1
जानकारी उपयोगी है।,0
b*stard,1
sh*tpost,1
Stop posting this crap.,1
tu kasa asa vagtos re,1
भड़वे,1
"Kuch points samajh aaye, kuch pe abhi soch raha hoon",0
दिमाग सड़ा हुआ,1
चूतड़,1
Just stop talking.,1
जानकारी साफ है।,0
g*ndu log,1
विषय समजतो.,0
वीडियो ठीक लगता है।,0
कचरा इंसान,1
व्हिडिओ पाहायला सोपा आहे.,0
Explanation samajh me aa gaya.,0
awara,1
cr*nge,1
यह वीडियो समझने में आसान है।,0
The explanation style is simple.,0
क्या बकवास है,1
sh*tty,1
जानकारी स्पष्ट है।,0
Dimag use kar.,1
gandu,1
Video informative hai.,0
इतना खराब कंटेंट कैसे बना लिया।,1
कंटेंट ठीक है।,0
प्रेझेंटेशन ठीक आहे.,0
वीडियो ठीक है।,0
tu kaamacha bilkul nahiye,1
कुत्ते,1
douchebag,1
जानकारी स्पष्ट है।,0
लौंडिया,1
horny,1
Stop posting bro.,1
tu dimag lagata hi nahi hai,1
Kuch nhi aata isko.,1
batameez,1
Did a child write this?,1
he expected navhta,1
माहिती स्पष्ट आहे.,0
Explanation thik hai.,0
This might be the worst opinion I’ve ever heard.,1
Nobody likes you here.,1
k*m*na,1
Thoda time lagega sab samajhne mein.,0
Tera account mute karna padega.,1
खूप घाण दिसते,1
"Interesting perspective, thanks for sharing.",0
nonsense baatein,1
this is embarrassingly bad,1
The concept is explained clearly.,0
माहिती स्पष्ट आहे.,0
The topic is presented simply.,0
The video presentation is simple.,0
अभी इस पर राय बनाना बाकी है।,0
The intro set the context well.,0
रंडीखोर,1
Content looks balanced.,0
Content is understandable.,0
विषय समझ में आता है।,0
जानकारी समझ में आती है।,0
g*nd,1
loser,1
Video informative lagta hai.,0
स्पष्टीकरण सोपे आहे.,0
व्हिडिओ ठीक वाटतो.,0
The comments section is also worth reading.,0
This video is a waste of time.,1
वीडियो देखना आसान है।,0
Comments section bhi dekhne layak hai,0
विषय ठीक है।,0
That’s embarrassing ngl.,1
चोदना,1
bakbak band kar,1
Bhai bas.,1
Explanation simple hai.,0
b*h*nchod,1
विषय साफ बताया गया है।,0
